id,unlock_time,lock_time,id_user
2,11/05/2020 23:16,11/05/2020 23:16,4
4,11/05/2020 23:18,11/05/2020 23:21,4
2,11/05/2020 23:17,11/05/2020 23:17,4
3,11/05/2020 23:18,11/05/2020 23:21,4
3,11/05/2020 23:18,11/05/2020 23:21,4
2,11/05/2020 23:18,11/05/2020 23:21,4
3,11/05/2020 23:18,11/05/2020 23:21,4
2,12/05/2020 17:28,12/05/2020 17:29,4
2,12/05/2020 17:29,12/05/2020 17:51,4
2,12/05/2020 17:52,12/05/2020 17:52,4
2,12/05/2020 17:52,12/05/2020 17:52,4
2,12/05/2020 17:52,12/05/2020 17:52,4
2,12/05/2020 17:52,12/05/2020 17:52,4
2,13/05/2020 16:37,13/05/2020 16:39,4
2,13/05/2020 16:52,13/05/2020 17:01,4
2,13/05/2020 17:16,in_use,136412627233
1,03/06/2020 10:23,03/06/2020 10:27,136412627233
1,03/06/2020 18:12,03/06/2020 18:13,136412627233
1,03/06/2020 18:15,03/06/2020 18:16,136412627233
1,22/06/2020 18:41,22/06/2020 18:41,136412627233
1,22/06/2020 18:46,22/06/2020 18:46,136412627233
1,22/06/2020 19:59,22/06/2020 20:00,136412627233
1,22/06/2020 20:29,22/06/2020 20:30,136412627233
1,22/06/2020 20:36,22/06/2020 20:37,136412627233
1,22/06/2020 20:39,22/06/2020 20:39,136412627233
1,22/06/2020 20:40,22/06/2020 20:40,136412627233
1,22/06/2020 21:14,22/06/2020 21:15,136412627233
1,22/06/2020 21:25,22/06/2020 21:25,136412627233
1,23/06/2020 08:46,23/06/2020 08:47,136412627233
1,23/06/2020 08:56,23/06/2020 08:58,136412627233
1,23/06/2020 09:40,23/06/2020 09:40,136412627233
1,23/06/2020 09:53,23/06/2020 09:53,136412627233
1,23/06/2020 10:03,23/06/2020 10:04,136412627233
1,23/06/2020 10:05,23/06/2020 10:05,136412627233
1,23/06/2020 10:18,23/06/2020 10:18,136412627233
